achalasia-of-cardia.K11_ACHAL	K11_ACHAL
traffic-intensity-on-the-nearest-major-road.24011_raw	24011_raw
traffic-intensity-on-the-nearest-road.24009	24009
transport-type-for-commuting-to-job-workplace-carmotor-vehicle.6143_1	6143_1
transport-type-for-commuting-to-job-workplace-cycle.6143_4	6143_4
transport-type-for-commuting-to-job-workplace-none-of-the-above.6143_100	6143_100
transport-type-for-commuting-to-job-workplace-public-transport.6143_3	6143_3
transport-type-for-commuting-to-job-workplace-walk.6143_2	6143_2
traumatic-subarachnoid-haemorrhage.G6_SAHTRAU	G6_SAHTRAU
traumatic-subdural-haemorrhage.G6_SDHTRAU	G6_SDHTRAU
treatmentmedication-code-aciclovir.20003_1140874370	20003_1140874370
treatmentmedication-code-actonel-5mg-tablet.20003_1141175690	20003_1141175690
treatmentmedication-code-acyclovir.20003_1140909954	20003_1140909954
treatmentmedication-code-adalat-5mg-capsule.20003_1140861090	20003_1140861090
treatmentmedication-code-adalate-10mg-capsule.20003_1140881702	20003_1140881702
treatmentmedication-code-adcal-600mg-chewable-tablet.20003_1141171948	20003_1141171948
treatmentmedication-code-adcal-d3-15g10micrograms-chewable-tablet.20003_1141164828	20003_1141164828
treatmentmedication-code-adipine-mr-10-mr-tablet.20003_1140923572	20003_1140923572
treatmentmedication-code-adizem-60-mr-tablet.20003_1140861138	20003_1140861138
treatmentmedication-code-adizem-xl-plus-mr-capsule.20003_1140926780	20003_1140926780
treatmentmedication-code-airomir-100micrograms-cfc-free-inhaler.20003_1140917034	20003_1140917034
treatmentmedication-code-alendronate-sodium.20003_1140922174	20003_1140922174
treatmentmedication-code-alfacalcidol.20003_1140870956	20003_1140870956
treatmentmedication-code-allergy-relief-antihistamine-4mg-tablet.20003_1141194224	20003_1141194224
treatmentmedication-code-allopurinol.20003_1140875408	20003_1140875408
treatmentmedication-code-aloe-vera-product.20003_1203	20003_1203
treatmentmedication-code-alverine.20003_1140879424	20003_1140879424
treatmentmedication-code-amantadine.20003_1140879644	20003_1140879644
treatmentmedication-code-amias-2mg-tablet.20003_1141156846	20003_1141156846
treatmentmedication-code-amiloride.20003_1140888512	20003_1140888512
treatmentmedication-code-amiodarone.20003_1140888502	20003_1140888502
treatmentmedication-code-amitriptyline.20003_1140879616	20003_1140879616
treatmentmedication-code-amlodipine.20003_1140879802	20003_1140879802
treatmentmedication-code-amoxicillin.20003_1141180226	20003_1141180226
treatmentmedication-code-anadin-tablet.20003_1140911754	20003_1140911754
treatmentmedication-code-angitil-sr-90-mr-capsule.20003_1140917428	20003_1140917428
treatmentmedication-code-antihistamine-60mg-tablet.20003_1140926922	20003_1140926922
treatmentmedication-code-aprovel-75mg-tablet.20003_1141153006	20003_1141153006
treatmentmedication-code-aqueous-cream-bp.20003_1140876404	20003_1140876404
treatmentmedication-code-arcoxia-60mg-tablet.20003_1141180148	20003_1141180148
treatmentmedication-code-arcoxia-90mg-tablet.20003_1141180150	20003_1141180150
treatmentmedication-code-arthrotec-50-tablet.20003_1140927086	20003_1140927086
treatmentmedication-code-arthrotec-tablet.20003_1140871266	20003_1140871266
treatmentmedication-code-asacol-400mg-ec-tablet.20003_1140865580	20003_1140865580
treatmentmedication-code-asacol-mr-400mg-ec-tablet.20003_1141188658	20003_1141188658
treatmentmedication-code-aspirin.20003_1140868226	20003_1140868226
treatmentmedication-code-aspirin-75mg-tablet.20003_1140861806	20003_1140861806
treatmentmedication-code-atenolol.20003_1140866738	20003_1140866738
treatmentmedication-code-atorvastatin.20003_1141146234	20003_1141146234
treatmentmedication-code-atrovent-20micrograms-inhaler.20003_1140862236	20003_1140862236
treatmentmedication-code-avandamet-1mg-500mg-tablet.20003_1141189094	20003_1141189094
treatmentmedication-code-azathioprine.20003_1140869930	20003_1140869930
treatmentmedication-code-azopt-10mgml-eye-drops.20003_1141176288	20003_1141176288
treatmentmedication-code-b12-hydroxocobalamin-prep.20003_1140910494	20003_1140910494
treatmentmedication-code-baclofen.20003_1140875420	20003_1140875420
treatmentmedication-code-balsalazide-disodium.20003_1141153242	20003_1141153242
treatmentmedication-code-beclazone-50-inhaler.20003_1140862476	20003_1140862476
treatmentmedication-code-becloforte-250micrograms-inhaler.20003_1140862380	20003_1140862380
treatmentmedication-code-beclometasone.20003_1140909786	20003_1140909786
treatmentmedication-code-beclometasone-dipropionatesalbutamol.20003_1141180342	20003_1141180342
treatmentmedication-code-beclomethasone.20003_1140884654	20003_1140884654
treatmentmedication-code-beclomist-50micrograms-nasal-spray.20003_1141167708	20003_1141167708
treatmentmedication-code-beconase-50micrograms-nasal-spray.20003_1140876136	20003_1140876136
treatmentmedication-code-becotide-50-inhaler.20003_1140862382	20003_1140862382
treatmentmedication-code-bendrofluazide.20003_1140866122	20003_1140866122
treatmentmedication-code-bendroflumethiazide.20003_1141194794	20003_1141194794
treatmentmedication-code-betahistine.20003_1140888688	20003_1140888688
treatmentmedication-code-betamethasone.20003_1140874790	20003_1140874790
treatmentmedication-code-betnesol-01-eyeearnose-drops.20003_1140882626	20003_1140882626
treatmentmedication-code-betnovate-cream.20003_1140882694	20003_1140882694
treatmentmedication-code-bezafibrate.20003_1140861924	20003_1140861924
treatmentmedication-code-bimatoprost.20003_1141179914	20003_1141179914
treatmentmedication-code-bisacodyl.20003_1140865786	20003_1140865786
treatmentmedication-code-bisoprolol.20003_1140879760	20003_1140879760
treatmentmedication-code-bisoprolol-fumaratehydrochlorothiazide-10mg625mg-tablet.20003_1140864950	20003_1140864950
treatmentmedication-code-bricanyl-250mcg-inhaler.20003_1140862168	20003_1140862168
treatmentmedication-code-brimonidine-tartrate.20003_1141150750	20003_1141150750
treatmentmedication-code-brinzolamide.20003_1141176284	20003_1141176284
treatmentmedication-code-budesonide.20003_1140862572	20003_1140862572
treatmentmedication-code-budesonide-product.20003_1141157418	20003_1141157418
treatmentmedication-code-budesonideformoterol.20003_1141195232	20003_1141195232
treatmentmedication-code-bumetanide.20003_1140866280	20003_1140866280
treatmentmedication-code-buprenorphine.20003_1140871732	20003_1140871732
treatmentmedication-code-buscopan-10mg-tablet.20003_1140865396	20003_1140865396
treatmentmedication-code-calceos-chewable-tablet.20003_1141146612	20003_1141146612
treatmentmedication-code-calcichew-125g-chewable-tablet.20003_1140870856	20003_1140870856
treatmentmedication-code-calcichew-d3-tablet.20003_1140871050	20003_1140871050
treatmentmedication-code-calcichew-forte-25g-chewable-tablet.20003_1140870862	20003_1140870862
treatmentmedication-code-calcipotriol.20003_1140880086	20003_1140880086
treatmentmedication-code-calcium-carbonatecholecalciferol-125g200iu-tablet.20003_1141146606	20003_1141146606
treatmentmedication-code-calcium-carbonatecholecalciferol-125g5micrograms-tablet.20003_1140871052	20003_1140871052
treatmentmedication-code-calcium-carbonatecolecalciferol-125g5micrograms-tablet.20003_1141180936	20003_1141180936
treatmentmedication-code-calcium-salts.20003_1140870788	20003_1140870788
treatmentmedication-code-calciumergocalciferol-tablet.20003_1140877630	20003_1140877630
treatmentmedication-code-calciumvitamin-d-500units-tablet.20003_1140852948	20003_1140852948
treatmentmedication-code-candesartan-cilexetil.20003_1141156836	20003_1141156836
treatmentmedication-code-captopril.20003_1140860750	20003_1140860750
treatmentmedication-code-carbamazepine.20003_2038459704	20003_2038459704
treatmentmedication-code-carbimazole.20003_1140874866	20003_1140874866
treatmentmedication-code-carbocisteine.20003_1140862944	20003_1140862944
treatmentmedication-code-carbomers.20003_1141176732	20003_1141176732
treatmentmedication-code-cardicor-125mg-tablet.20003_1141171152	20003_1141171152
treatmentmedication-code-cardioplen-xl-5mg-mr-tablet.20003_1141199858	20003_1141199858
treatmentmedication-code-care-cetirizine-hayfever-relief-10mg-tablet.20003_1141187230	20003_1141187230
treatmentmedication-code-carmellose.20003_1140883968	20003_1140883968
treatmentmedication-code-carvedilol.20003_1140909368	20003_1140909368
treatmentmedication-code-cefalexin.20003_1141180392	20003_1141180392
treatmentmedication-code-celebrex-100mg-capsule.20003_1141176668	20003_1141176668
treatmentmedication-code-celebrex-200mg-capsule.20003_1141176670	20003_1141176670
treatmentmedication-code-celecoxib.20003_1141176662	20003_1141176662
treatmentmedication-code-celiprolol.20003_1140879762	20003_1140879762
treatmentmedication-code-celluvisc-1-single-use-eye-drops.20003_1141172918	20003_1141172918
treatmentmedication-code-cetirizine.20003_1140883504	20003_1140883504
treatmentmedication-code-chlorphenamine.20003_1140909790	20003_1140909790
treatmentmedication-code-chlorpromazine.20003_1140879658	20003_1140879658
treatmentmedication-code-chondroitin-product.20003_1187	20003_1187
treatmentmedication-code-cimetidine.20003_1140865426	20003_1140865426
treatmentmedication-code-cinnarizine.20003_1140883524	20003_1140883524
treatmentmedication-code-cipralex-5mg-tablet.20003_1141190158	20003_1141190158
treatmentmedication-code-cipramil-10mg-tablet.20003_1141151946	20003_1141151946
treatmentmedication-code-ciprofloxacin.20003_1140874138	20003_1140874138
treatmentmedication-code-citalopram.20003_1140921600	20003_1140921600
treatmentmedication-code-clarityn-10mg-tablet.20003_1140862776	20003_1140862776
treatmentmedication-code-clobetasone.20003_1140884696	20003_1140884696
treatmentmedication-code-clomipramine.20003_1140879620	20003_1140879620
treatmentmedication-code-clonazepam.20003_1140872150	20003_1140872150
treatmentmedication-code-clonidine.20003_1140883468	20003_1140883468
treatmentmedication-code-clopidogrel.20003_1141168318	20003_1141168318
treatmentmedication-code-co-amilofruse.20003_1140923402	20003_1140923402
treatmentmedication-code-co-amilozide.20003_1140923276	20003_1140923276
treatmentmedication-code-co-codamol.20003_1140923346	20003_1140923346
treatmentmedication-code-co-dydramol.20003_1140923350	20003_1140923350
treatmentmedication-code-co-enzyme-q10ubiquinonebio-quinonecoenzyme-q10.20003_1189	20003_1189
treatmentmedication-code-co-proxamol.20003_1140923348	20003_1140923348
treatmentmedication-code-co-tenidone.20003_1140923336	20003_1140923336
treatmentmedication-code-cod-liver-oil-capsule.20003_1140909674	20003_1140909674
treatmentmedication-code-codeine.20003_1140884444	20003_1140884444
treatmentmedication-code-codeine-phosphatekaolin-10mg3g10ml-mixture.20003_1140865654	20003_1140865654
treatmentmedication-code-colchicine.20003_1140875486	20003_1140875486
treatmentmedication-code-colofac-100-tablet.20003_1141167334	20003_1141167334
treatmentmedication-code-colpermin-02ml-mr-gel-ec-capsule.20003_1140865416	20003_1140865416
treatmentmedication-code-combivent-inhaler.20003_1140864734	20003_1140864734
treatmentmedication-code-coracten-sr-10mg-mr-capsule.20003_1140861120	20003_1140861120
treatmentmedication-code-cosopt-205-eye-drops.20003_1141169520	20003_1141169520
treatmentmedication-code-coversyl-2mg-tablet.20003_1140860802	20003_1140860802
treatmentmedication-code-cozaar-25mg-tablet.20003_1141179974	20003_1141179974
treatmentmedication-code-creon-ec-granules-in-capsule.20003_1140866026	20003_1140866026
treatmentmedication-code-crestor-10mg-tablet.20003_1141192414	20003_1141192414
treatmentmedication-code-cyclizine.20003_1140868080	20003_1140868080
treatmentmedication-code-cymalon-cranberry-15g5ml-liquid.20003_1141200108	20003_1141200108
treatmentmedication-code-daktacort-cream.20003_1140882910	20003_1140882910
treatmentmedication-code-depakote-250mg-ec-tablet.20003_1141172838	20003_1141172838
treatmentmedication-code-dermol-500-lotion.20003_1140927320	20003_1140927320
treatmentmedication-code-dermovate-cream.20003_1140882782	20003_1140882782
treatmentmedication-code-desloratadine.20003_1141172924	20003_1141172924
treatmentmedication-code-detrusitol-1mg-tablet.20003_1141162824	20003_1141162824
treatmentmedication-code-dexamethasonehypromellose-0105-eye-drops.20003_1141169844	20003_1141169844
treatmentmedication-code-diazepam.20003_1140863152	20003_1140863152
treatmentmedication-code-diclofenac.20003_1140884488	20003_1140884488
treatmentmedication-code-diclofenac-sodiummisoprostol.20003_1140878036	20003_1140878036
treatmentmedication-code-dicloflex-25mg-ec-tablet.20003_1140921828	20003_1140921828
treatmentmedication-code-didronel-200mg-tablet.20003_1140868772	20003_1140868772
treatmentmedication-code-digoxin.20003_2038459814	20003_2038459814
treatmentmedication-code-dihydrocodeine.20003_1140884464	20003_1140884464
treatmentmedication-code-diltiazem.20003_1140879806	20003_1140879806
treatmentmedication-code-dilzem-sr-60mg-long-acting-mr-capsule.20003_1140861166	20003_1140861166
treatmentmedication-code-diovan-40mg-capsule.20003_1141145668	20003_1141145668
treatmentmedication-code-diprobase-cream.20003_1140878226	20003_1140878226
treatmentmedication-code-diprosalic-ointment.20003_1140882618	20003_1140882618
treatmentmedication-code-dipyridamole.20003_1140861778	20003_1140861778
treatmentmedication-code-docusate-sodium.20003_1140879404	20003_1140879404
treatmentmedication-code-domperidone.20003_1140879430	20003_1140879430
treatmentmedication-code-dorzolamide.20003_1140922714	20003_1140922714
treatmentmedication-code-dosulepin.20003_1140909806	20003_1140909806
treatmentmedication-code-dothiepin.20003_1140879628	20003_1140879628
treatmentmedication-code-doublebase-gel.20003_1141174032	20003_1141174032
treatmentmedication-code-dovobet-ointment.20003_1141179992	20003_1141179992
treatmentmedication-code-dovonex-50microgramsg-cream.20003_1140864184	20003_1140864184
treatmentmedication-code-doxazosin.20003_1140879778	20003_1140879778
treatmentmedication-code-doxycycline.20003_1140873394	20003_1140873394
treatmentmedication-code-duloxetine.20003_1141200564	20003_1141200564
treatmentmedication-code-e45-cream.20003_1140878304	20003_1140878304
treatmentmedication-code-efexor-375mg-tablet.20003_1140916288	20003_1140916288
treatmentmedication-code-elocon-cream.20003_1140888092	20003_1140888092
treatmentmedication-code-enalapril.20003_1140888552	20003_1140888552
treatmentmedication-code-epaderm-ointment.20003_1140927730	20003_1140927730
treatmentmedication-code-epanutin-25mg-capsule.20003_1140872112	20003_1140872112
treatmentmedication-code-epilim-100mg-crushable-tablet.20003_1140872200	20003_1140872200
treatmentmedication-code-eprosartan.20003_1141171336	20003_1141171336
treatmentmedication-code-erythromycin.20003_1140873608	20003_1140873608
treatmentmedication-code-escitalopram.20003_1141180212	20003_1141180212
treatmentmedication-code-esomeprazole.20003_1141177526	20003_1141177526
treatmentmedication-code-etodolac.20003_1140871188	20003_1140871188
treatmentmedication-code-etoricoxib.20003_1141180140	20003_1141180140
treatmentmedication-code-eumovate-cream.20003_1140882800	20003_1140882800
treatmentmedication-code-evening-primrose-oil.20003_1140916682	20003_1140916682
treatmentmedication-code-evening-primrose-oil-product.20003_1197	20003_1197
treatmentmedication-code-ezetimibe.20003_1141192736	20003_1141192736
treatmentmedication-code-ezetrol-10mg-tablet.20003_1141192740	20003_1141192740
treatmentmedication-code-felodipine.20003_1140888646	20003_1140888646
treatmentmedication-code-fenofibrate.20003_1140861954	20003_1140861954
treatmentmedication-code-fentanyl.20003_1140880956	20003_1140880956
treatmentmedication-code-ferrous-salt-product.20003_1140888390	20003_1140888390
treatmentmedication-code-ferrous-sulphate.20003_1140870390	20003_1140870390
treatmentmedication-code-fexofenadine.20003_1141146428	20003_1141146428
treatmentmedication-code-flax-oil-tablet.20003_1140911730	20003_1140911730
treatmentmedication-code-flecainide.20003_1140888570	20003_1140888570
treatmentmedication-code-flixonase-50micrograms-aqueous-nasal-spray.20003_1140876076	20003_1140876076
treatmentmedication-code-flixotide-25micrograms-inhaler.20003_1140864286	20003_1140864286
treatmentmedication-code-flu-influenza-vaccine.20003_1140910498	20003_1140910498
treatmentmedication-code-flucloxacillin.20003_1140872694	20003_1140872694
treatmentmedication-code-fludrocortisone.20003_1140884672	20003_1140884672
treatmentmedication-code-fluoxetine.20003_1140879540	20003_1140879540
treatmentmedication-code-fluticasone.20003_1140888098	20003_1140888098
treatmentmedication-code-fluvastatin.20003_1140888594	20003_1140888594
treatmentmedication-code-folic-acid-product.20003_1140870422	20003_1140870422
treatmentmedication-code-food-supplementplantherbal-extract.20003_1199	20003_1199
treatmentmedication-code-forceval-capsule.20003_1140870488	20003_1140870488
treatmentmedication-code-formoterol.20003_1141195224	20003_1141195224
treatmentmedication-code-fosamax-5mg-tablet.20003_1141176570	20003_1141176570
treatmentmedication-code-fosinopril.20003_1140888556	20003_1140888556
treatmentmedication-code-free-text-entry-unable-to-be-coded.20003_99999	20003_99999
treatmentmedication-code-frusemide.20003_1140866116	20003_1140866116
treatmentmedication-code-fucibet-cream.20003_1140882776	20003_1140882776
treatmentmedication-code-furosemide.20003_1140909708	20003_1140909708
treatmentmedication-code-fybogel-mebeverine-sachet.20003_1140865350	20003_1140865350
treatmentmedication-code-fybogel-orange-sf-granules.20003_1141180036	20003_1141180036
treatmentmedication-code-gabapentin.20003_1140872228	20003_1140872228
treatmentmedication-code-gamolenic-acid.20003_1140880072	20003_1140880072
treatmentmedication-code-garlic-product.20003_1140911732	20003_1140911732
treatmentmedication-code-gaviscon-liquid.20003_1140865354	20003_1140865354
treatmentmedication-code-ginkgo-forte-tablet.20003_1140911734	20003_1140911734
treatmentmedication-code-ginseng-product.20003_1140911736	20003_1140911736
treatmentmedication-code-gliclazide.20003_1140874744	20003_1140874744
treatmentmedication-code-glimepiride.20003_1141152590	20003_1141152590
treatmentmedication-code-glucophage-500mg-tablet.20003_1140874686	20003_1140874686
treatmentmedication-code-glucosamine-product.20003_1141188442	20003_1141188442
treatmentmedication-code-glyceryl-trinitrate.20003_1140860834	20003_1140860834
treatmentmedication-code-glyceryl-trinitrate-product.20003_1141157252	20003_1141157252
treatmentmedication-code-gtn-glyceryl-trinitrate.20003_1140923670	20003_1140923670
treatmentmedication-code-gtn-400micrograms-spray.20003_1140851812	20003_1140851812
treatmentmedication-code-half-inderal-la-80mg-mr-capsule.20003_1140866800	20003_1140866800
treatmentmedication-code-hepacon-b12-1mg1ml-injection.20003_1140858452	20003_1140858452
treatmentmedication-code-humira-40mg-injection-solution-08ml-prefilled-syringe.20003_1141188594	20003_1141188594
treatmentmedication-code-hydrocortisone.20003_1140874896	20003_1140874896
treatmentmedication-code-hydrocortisone-product.20003_1141157294	20003_1141157294
treatmentmedication-code-hydroxocobalamin.20003_1141173348	20003_1141173348
treatmentmedication-code-hydroxycarbamide.20003_1141195044	20003_1141195044
treatmentmedication-code-hydroxychloroquine.20003_1140884308	20003_1140884308
treatmentmedication-code-hydroxyzine.20003_1140883656	20003_1140883656
treatmentmedication-code-hyoscine-butylbromide.20003_1140865394	20003_1140865394
treatmentmedication-code-hypromellose.20003_1140875990	20003_1140875990
treatmentmedication-code-hypromellose-product.20003_1141157458	20003_1141157458
treatmentmedication-code-ibandronic-acid.20003_1141180314	20003_1141180314
treatmentmedication-code-ibuprofen.20003_1140871310	20003_1140871310
treatmentmedication-code-imdur-60mg-durule.20003_1140860976	20003_1140860976
treatmentmedication-code-imigran-50mg-tablet.20003_1140911658	20003_1140911658
treatmentmedication-code-imipramine.20003_1140879630	20003_1140879630
treatmentmedication-code-imodium-2mg-capsule.20003_1140865564	20003_1140865564
treatmentmedication-code-indapamide.20003_1140866078	20003_1140866078
treatmentmedication-code-inderal-10mg-tablet.20003_1140866804	20003_1140866804
treatmentmedication-code-indometacin.20003_1140909936	20003_1140909936
treatmentmedication-code-indomethacin.20003_1140871336	20003_1140871336
treatmentmedication-code-insulin-product.20003_1140883066	20003_1140883066
treatmentmedication-code-ipratropium.20003_1140883548	20003_1140883548
treatmentmedication-code-irbesartan.20003_1141152998	20003_1141152998
treatmentmedication-code-iron-product.20003_1140888386	20003_1140888386
treatmentmedication-code-iron-sulphate.20003_1140910548	20003_1140910548
treatmentmedication-code-ironfolic-acid.20003_1140870306	20003_1140870306
treatmentmedication-code-ismn-isosorbide-mononitrate.20003_1140888762	20003_1140888762
treatmentmedication-code-ismo-isosorbide-mononitrate.20003_1140910512	20003_1140910512
treatmentmedication-code-isosorbide-mononitrate.20003_1140860954	20003_1140860954
treatmentmedication-code-isotard-25xl-mr-tablet.20003_1141168108	20003_1141168108
treatmentmedication-code-ispaghula-husk.20003_1140865752	20003_1140865752
treatmentmedication-code-ispaghula-husk-product.20003_1141157494	20003_1141157494
treatmentmedication-code-istin-5mg-tablet.20003_1140861202	20003_1140861202
treatmentmedication-code-kapake-tablet.20003_1140864070	20003_1140864070
treatmentmedication-code-kelpgarlic-product.20003_1140911638	20003_1140911638
treatmentmedication-code-keppra-250mg-tablet.20003_1141171940	20003_1141171940
treatmentmedication-code-ketoprofen.20003_1140871506	20003_1140871506
treatmentmedication-code-lacidipine.20003_1140861276	20003_1140861276
treatmentmedication-code-lacri-lube-eye-ointment.20003_1140881472	20003_1140881472
treatmentmedication-code-lactulose-product.20003_1140865800	20003_1140865800
treatmentmedication-code-lamotrigine.20003_1140872290	20003_1140872290
treatmentmedication-code-lansoprazole.20003_1140864752	20003_1140864752
treatmentmedication-code-latanoprost.20003_1141146188	20003_1141146188
treatmentmedication-code-lecithin-product.20003_1140911640	20003_1140911640
treatmentmedication-code-leflunomide.20003_1141166294	20003_1141166294
treatmentmedication-code-lercanidipine.20003_1141153026	20003_1141153026
treatmentmedication-code-levetiracetam.20003_1141171932	20003_1141171932
treatmentmedication-code-levocetirizine.20003_1141184748	20003_1141184748
treatmentmedication-code-levothyroxine-sodium.20003_1141191044	20003_1141191044
treatmentmedication-code-lipitor-10mg-tablet.20003_1141146138	20003_1141146138
treatmentmedication-code-liquifilm-tears-14-eye-drops.20003_1140878186	20003_1140878186
treatmentmedication-code-lisinopril.20003_1140860696	20003_1140860696
treatmentmedication-code-lisinoprilhydrochlorothiazide-10mg125mg-tablet.20003_1140864952	20003_1140864952
treatmentmedication-code-lithium-product.20003_1140867490	20003_1140867490
treatmentmedication-code-lodine-200mg-tablet.20003_1140871196	20003_1140871196
treatmentmedication-code-lofepramine.20003_1140867726	20003_1140867726
treatmentmedication-code-loperamide.20003_1140879464	20003_1140879464
treatmentmedication-code-loratadine.20003_1140862772	20003_1140862772
treatmentmedication-code-lorazepam.20003_1140863302	20003_1140863302
treatmentmedication-code-losartan.20003_1140916356	20003_1140916356
treatmentmedication-code-losartan-potassiumhydrochlorothiazide-50mg125mg-tablet.20003_1141151016	20003_1141151016
treatmentmedication-code-losec-10mg-capsule.20003_1140909578	20003_1140909578
treatmentmedication-code-lumigan-03mgml-eye-drops.20003_1141179920	20003_1141179920
treatmentmedication-code-luteine.20003_1140910640	20003_1140910640
treatmentmedication-code-lymecycline.20003_1140873474	20003_1140873474
treatmentmedication-code-lyrica-25mg-capsule.20003_1141200072	20003_1141200072
treatmentmedication-code-madopar-625-capsule.20003_1140872338	20003_1140872338
treatmentmedication-code-magnesium-carbonate.20003_1140881320	20003_1140881320
treatmentmedication-code-magnesium-citrate.20003_1140865872	20003_1140865872
treatmentmedication-code-manevac-granules.20003_1140879392	20003_1140879392
treatmentmedication-code-maxalt-5mg-tablet.20003_1141167940	20003_1141167940
treatmentmedication-code-mebeverine.20003_1140879428	20003_1140879428
treatmentmedication-code-mefenamic-acid.20003_1140871542	20003_1140871542
treatmentmedication-code-meloxicam.20003_1140926732	20003_1140926732
treatmentmedication-code-merbentyl-10mg-tablet.20003_1140865382	20003_1140865382
treatmentmedication-code-mesalazine.20003_1140865578	20003_1140865578
treatmentmedication-code-metformin.20003_1140884600	20003_1140884600
treatmentmedication-code-methotrexate.20003_1140869848	20003_1140869848
treatmentmedication-code-metoclopramide.20003_1140879494	20003_1140879494
treatmentmedication-code-metoprolol.20003_1140879818	20003_1140879818
treatmentmedication-code-metronidazole.20003_1140874014	20003_1140874014
treatmentmedication-code-micardis-20mg-tablet.20003_1141172492	20003_1141172492
treatmentmedication-code-migraleve-tablet.20003_1141168554	20003_1141168554
treatmentmedication-code-minerals-magnesium.20003_1141145812	20003_1141145812
treatmentmedication-code-minocycline.20003_1140873480	20003_1140873480
treatmentmedication-code-mirtazapine.20003_1141152732	20003_1141152732
treatmentmedication-code-mometasone.20003_1140888172	20003_1140888172
treatmentmedication-code-monomax-xl-60mg-mr-tablet.20003_1141172698	20003_1141172698
treatmentmedication-code-montelukast-product.20003_1141157126	20003_1141157126
treatmentmedication-code-morphine.20003_1140871692	20003_1140871692
treatmentmedication-code-motilium-10mg-tablet.20003_1140867998	20003_1140867998
treatmentmedication-code-movelat-gel.20003_1140875632	20003_1140875632
treatmentmedication-code-movicol-oral-powder.20003_1140925800	20003_1140925800
treatmentmedication-code-moxonidine.20003_1140928284	20003_1140928284
treatmentmedication-code-mucodyne-375mg-capsule.20003_1140862952	20003_1140862952
treatmentmedication-code-multivitaminmineral-preparations.20003_1140876592	20003_1140876592
treatmentmedication-code-multivitamins.20003_1140852976	20003_1140852976
treatmentmedication-code-multivitamins-capsule.20003_1140909766	20003_1140909766
treatmentmedication-code-mycophenolate.20003_1140925978	20003_1140925978
treatmentmedication-code-nabumetone.20003_1140875336	20003_1140875336
treatmentmedication-code-naprosyn-250mg-tablet.20003_1140871472	20003_1140871472
treatmentmedication-code-naproxen.20003_1140871462	20003_1140871462
treatmentmedication-code-naramig-25mg-tablet.20003_1141151288	20003_1141151288
treatmentmedication-code-naratriptan.20003_1141151284	20003_1141151284
treatmentmedication-code-nasacort-55micrograms-aqueous-nasal-spray.20003_1141146508	20003_1141146508
treatmentmedication-code-nasobec-aqueous-50micrograms-nasal-spray.20003_1141145638	20003_1141145638
treatmentmedication-code-nasonex-005-aqueous-nasal-spray.20003_1141150944	20003_1141150944
treatmentmedication-code-nebivolol.20003_1141164276	20003_1141164276
treatmentmedication-code-neoclarityn-5mg-tablet.20003_1141172928	20003_1141172928
treatmentmedication-code-nexium-20mg-tablet.20003_1141177532	20003_1141177532
treatmentmedication-code-nicorandil.20003_1140910766	20003_1140910766
treatmentmedication-code-nicotine-product.20003_1140872492	20003_1140872492
treatmentmedication-code-nifedipine.20003_1140861088	20003_1140861088
treatmentmedication-code-nitrazepam.20003_1140863182	20003_1140863182
treatmentmedication-code-nitrofurantoin.20003_1140874126	20003_1140874126
treatmentmedication-code-nitrolingual-400micrograms-spray.20003_1140860840	20003_1140860840
treatmentmedication-code-nitromin-400micrograms-cfc-free-spray.20003_1141145630	20003_1141145630
treatmentmedication-code-normacol-granules.20003_1140881474	20003_1140881474
treatmentmedication-code-nortriptyline.20003_1140867818	20003_1140867818
treatmentmedication-code-nurofen-200mg-tablet.20003_1141187776	20003_1141187776
treatmentmedication-code-oil-of-peppermint.20003_1140910698	20003_1140910698
treatmentmedication-code-oilatum-cream.20003_1140878324	20003_1140878324
treatmentmedication-code-olanzapine.20003_1140928916	20003_1140928916
treatmentmedication-code-olmesartan.20003_1141193282	20003_1141193282
treatmentmedication-code-olmetec-10mg-tablet.20003_1141193346	20003_1141193346
treatmentmedication-code-omacor-1g-capsule.20003_1141181868	20003_1141181868
treatmentmedication-code-omega-3fish-oil-supplement.20003_1193	20003_1193
treatmentmedication-code-omeprazole.20003_1140865634	20003_1140865634
treatmentmedication-code-opticrom-allergy-eye-drops.20003_1140909482	20003_1140909482
treatmentmedication-code-oramorph-10mg5ml-oral-solution.20003_1140882272	20003_1140882272
treatmentmedication-code-orlistat.20003_1141168680	20003_1141168680
treatmentmedication-code-otomize-ear-spray.20003_1140882728	20003_1140882728
treatmentmedication-code-oxybutynin.20003_1140883568	20003_1140883568
treatmentmedication-code-oxycodone-hydrochloride.20003_1141171038	20003_1141171038
treatmentmedication-code-oxytetracycline.20003_1140873548	20003_1140873548
treatmentmedication-code-pantoprazole.20003_1140929012	20003_1140929012
treatmentmedication-code-paracetamol.20003_2038460150	20003_2038460150
treatmentmedication-code-paracetamol-codeine.20003_1140882394	20003_1140882394
treatmentmedication-code-paramax-tablet.20003_1140872036	20003_1140872036
treatmentmedication-code-pariet-10mg-ec-tablet.20003_1141168590	20003_1141168590
treatmentmedication-code-paroxetine.20003_1140867888	20003_1140867888
treatmentmedication-code-penicillin.20003_1140882498	20003_1140882498
treatmentmedication-code-penicillin-v.20003_1140888758	20003_1140888758
treatmentmedication-code-pentasa-sr-250mg-mr-tablet.20003_1140865588	20003_1140865588
